,Name,Financial Status,Paid at,Fulfillment Status,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem fulfillment status,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Tags,Risk Level,Source,Color ,Tax 3 Name,item_quantity
577,#1578,paid,8/24/16 15:11,unfulfilled,yes,USD,98.34,21.66,0.0,120.0,,0.0,FedEx Ground,8/24/16 15:11,1,98.34,,pending,372 Eglinton Ave W,372 Eglinton Ave W,,Little One,Toronto,M5N1A2,ON,CA,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
578,#1579,partially_refunded,,fulfilled,yes,USD,237.89,9.39,0.0,247.28,,0.0,FedEx Ground,8/24/16 16:40,1,5.25,4.25,fulfilled,"2077 West Shore Rd , Unit 1",2077 West Shore Rd ,Unit 1,Aura Accessories,Warwick,2889,RI,US,,,,Shopify Payments,16.0,Crystal Avenue,,Low,web, Brave Message Toggle Bracelet ,,29
579,#1580,partially_refunded,,partial,yes,USD,159.5,10.74,0.0,170.24,,0.0,FedEx Ground,8/25/16 17:42,1,5.0,7.0,fulfilled,18935 west dixie highway,18935 west dixie highway,,Yvette & Ray,miami,33180,FL,US,,,,Shopify Payments,45.0,USJewelryhouse,,Low,web, Black,,29
580,#1581,partially_refunded,,partial,yes,USD,275.0,0.0,0.0,275.0,,0.0,Free Shipping (Fedex Ground),8/25/16 23:23,3,3.0,,fulfilled,"Petrune, 126 East State Street",Petrune,126 East State Street,Petrune,Ithaca,14850,NY,US,,,,PayPal Express Checkout,92.25,USJewelryhouse,,Low,web, Matte Black,,75
581,#1582,paid,8/26/16 11:13,unfulfilled,yes,USD,148.5,9.39,0.0,157.89,,0.0,FedEx Ground,8/26/16 11:13,1,148.5,,pending,794 Lexington Ave,794 Lexington Ave,,Pookie&Sebastian,New York,10006,NY,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
582,#1583,partially_refunded,,partial,yes,USD,116.05,11.96,0.0,128.01,,0.0,FedEx Ground,8/26/16 17:00,1,4.25,3.5,fulfilled,101 A Avenue,101 A Avenue,,"New to You, Simply Posh",Lake Oswego,97034,OR,US,,,,Shopify Payments,13.25,fashion beyond,,Low,web, Crystal,,23
583,#1584,partially_refunded,,partial,yes,USD,125.75,11.96,0.0,137.71,,0.0,FedEx Ground,8/26/16 20:10,2,16.0,,fulfilled,"1221 Broadway, Ste 700",1221 Broadway,Ste 700,SOCIALITE Jewelry and Accessories,Oakland,94612-1898,CA,US,,,,PayPal Express Checkout,29.5,USJewelryhouse,,Low,web, Black,,12
584,#1585,paid,8/27/16 9:13,fulfilled,yes,USD,22.5,9.98,0.0,32.48,,0.0,FedEx Ground,8/27/16 9:13,1,22.5,,fulfilled,106 Chestnut St #1,106 Chestnut St #1,,Ms Cathys,Salisbury,28144,NC,US,,,,Shopify Payments,0.0,FOXY Collection,,Low,web, Cream,,1
585,#1586,partially_refunded,,partial,yes,USD,35.25,9.39,0.0,44.64,,0.0,FedEx Ground,8/27/16 19:53,1,3.25,,fulfilled,25 Cumberland Rd,25 Cumberland Rd,,Direct Jewelry,Reading,1867,MA,US,,,,Shopify Payments,3.0,USJewelryhouse,,Low,web, Rhodium,,12
586,#1587,paid,8/29/16 14:54,unfulfilled,yes,USD,10.0,9.39,0.0,19.39,,0.0,FedEx Ground,8/29/16 14:54,1,10.0,,pending,21 Mill Street,21 Mill Street,,AG&G,Johnston,2919,RI,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
587,#1588,partially_refunded,,partial,yes,USD,400.5,0.0,0.0,400.5,,0.0,Free Shipping (Fedex Ground),8/29/16 14:55,1,4.5,14.0,pending,"1449 Boardman Canfield Rd, E J Hannah",1449 Boardman Canfield Rd,E J Hannah,e.j. hannah,Youngstown,44512-8061,OH,US,,,,PayPal Express Checkout,40.0,USJewelryhouse,,Low,web, Cream,,86
588,#1589,partially_refunded,,unfulfilled,yes,USD,513.0,0.0,0.0,513.0,,0.0,Free Shipping (Fedex Ground),8/29/16 16:44,1,513.0,,pending,17269 Hampton Blvd,17269 Hampton Blvd,,Michele Popper,Boca Raton,33496,FL,US,,,,Shopify Payments,128.99,USJewelryhouse,,Low,web,,,1
589,#1590,pending,,unfulfilled,yes,USD,513.0,0.0,0.0,513.0,,0.0,Free Shipping (Fedex Ground),8/29/16 16:59,1,9.0,,pending,17269 Hampton Blvd,17269 Hampton Blvd,,Michele Popper,Boca Raton,33496,FL,US,,,,Cash on Delivery (COD),0.0,Jennifer,,Low,web, Black,,74
590,#1591,paid,8/29/16 17:13,unfulfilled,yes,USD,40.5,9.39,0.0,49.89,,0.0,FedEx Ground,8/29/16 17:13,3,13.5,,pending,14232 Platinum Drive ,14232 Platinum Drive ,,Artfully Designed,North Potomac,20878,MD,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,3
591,#1592,paid,8/29/16 17:30,fulfilled,yes,USD,108.43,31.48,0.0,139.91,,0.0,FedEx Ground,8/29/16 17:30,1,5.75,8.75,fulfilled,1933 regent st s,1933 regent st s,,Bottega Mia Fashions,Sudbury,P3E 5R2,ON,CA,I was there 2 weeks ago and would like to reorder a necklace. It was navy glass with 5 large flowers. The number on the back was NE8125PU. I would like 3 sets. I believe it was approx $10. Thanks rita,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Purple,,15
592,#1593,partially_refunded,,partial,yes,USD,302.72,0.0,0.0,302.72,,0.0,Free Shipping (Fedex Ground),8/29/16 22:22,2,4.75,5.0,fulfilled,169 West Front St.,169 West Front St.,,Carla Gizzi - Jewelry & home decor,Red Bank,7701,NJ,US,,,,Shopify Payments,100.75,USJewelryhouse,,Low,web, Brown,,78
593,#1594,paid,9/2/16 9:35,unfulfilled,yes,USD,61.25,9.39,0.0,70.64,,0.0,FedEx Ground,8/30/16 6:53,1,4.25,,pending,43 unquowa rd,43 unquowa rd,,Swim n surf,Fairfield,6824,CT,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Gold,,21
594,#1595,partially_refunded,,partial,yes,USD,209.25,9.39,0.0,218.64,,0.0,FedEx Ground,8/30/16 10:16,1,10.5,7.25,fulfilled,42 Abington Lane,42 Abington Lane,,K&M Associatees,Fall River,2721,MA,US,,,,Shopify Payments,23.25,USJewelryhouse,,Low,web, Rhodium,,40
595,#1596,paid,8/30/16 12:13,fulfilled,yes,USD,144.0,10.44,0.0,154.44,,0.0,FedEx Ground,8/30/16 12:13,24,6.0,,fulfilled,2325 S BRENTWOOD BLVD,2325 S BRENTWOOD BLVD,,THE VAULT,BRENTWOOD,63144,MO,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,24
596,#1597,partially_refunded,,partial,yes,USD,96.0,9.39,0.0,105.39,,0.0,FedEx Ground,8/31/16 10:51,1,4.75,7.0,fulfilled,1600 Division Road,1600 Division Road,,Crimzonrose,West warwick,2893,RI,US,,,,Shopify Payments,17.5,USJewelryhouse,,Low,web, Turquoise,,24
597,#1598,partially_refunded,,partial,no,USD,87.75,9.39,0.0,97.14,,0.0,FedEx Ground,9/1/16 0:05,1,10.0,,fulfilled,480 potter blvd,480 potter blvd,,dls,brightwaters,11718,NY,US,,,,PayPal Express Checkout,5.0,Jennifer,,Low,web, Gold,,11
598,#1599,partially_refunded,,partial,yes,USD,146.78,9.39,0.0,156.17,,0.0,FedEx Ground,9/1/16 10:32,1,6.0,8.75,fulfilled,69 Lucerne Road,69 Lucerne Road,,Glossy Design,Springfield,1119,MA,US,Please ship today.  Thank you,,,Shopify Payments,40.5,USJewelryhouse,,Low,web, Light Colorado Topaz,,16
599,#1600,partially_refunded,,partial,yes,USD,473.0,0.0,0.0,473.0,,0.0,Free Shipping (Fedex Ground),9/1/16 12:03,1,3.75,,fulfilled,28 jfk blvd,28 jfk blvd,,sunsations,sea isle city ,8243,NJ,US,,,,Shopify Payments,50.5,Dorothy,,Low,web, Hematite,,78
600,#1601,paid,9/1/16 12:35,fulfilled,yes,USD,51.0,9.39,0.0,60.39,,0.0,FedEx Ground,9/1/16 12:35,1,3.75,,fulfilled,98 Hausman Rd.,98 Hausman Rd.,,avondayle,Green Lane,18054,PA,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Black,,10
601,#1602,partially_refunded,,unfulfilled,yes,USD,237.25,10.36,0.0,247.61,,0.0,FedEx Ground,9/1/16 15:53,12,2.0,,pending,237 Main St,237 Main St,,Luna,Pineville,28134,NC,US,,,,Shopify Payments,10.36,vera,,Low,web, Gray,,91
602,#1603,paid,9/1/16 16:03,fulfilled,yes,USD,89.95,10.74,0.0,100.69,,0.0,FedEx Ground,9/1/16 16:03,2,2.5,14.5,fulfilled,5813 SW 1st Ave,5813 SW 1st Ave,,Holly Collection,Cape Coral,33914,FL,US,"Hi can you add the multi strand w/magnetic crystal ball bracelets to this order. BS13919 $3.75
Need 2 of each color, Aqua, champagne, turquoise, wht, pink=total 10 thx! Nikki ",,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Ivory,,17
603,#1604,paid,9/1/16 18:07,fulfilled,yes,USD,28.5,9.39,0.0,37.89,,0.0,FedEx Ground,9/1/16 18:07,1,6.5,,fulfilled,727 Front street apt 213,727 Front street apt 213,,Diamalaye,Woonsocket,2895,RI,US,,,,Shopify Payments,0.0,Hush,,Low,web, Blue,,5
604,#1605,paid,9/2/16 13:23,unfulfilled,yes,USD,22.25,0.0,0.0,22.25,,0.0,,9/2/16 13:23,1,22.25,,pending,,,,,,,,,"Thanks Gina. Have a nice Labor Day weekend! 
Nikki -Holly Collection",,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
605,#1606,partially_refunded,,partial,yes,USD,132.0,9.98,0.0,141.98,,0.0,FedEx Ground,9/2/16 13:26,3,2.5,,pending,737 N High St,737 N High St,,On Paper,Columbus,43215,OH,US,,,,Shopify Payments,44.75,Stylist,,Low,web, Silver,,42
606,#1607,paid,9/2/16 14:36,unfulfilled,yes,USD,75.0,10.74,0.0,85.74,,0.0,FedEx Ground,9/2/16 14:36,1,75.0,,pending,3721 NE 200TH STREET,3721 NE 200TH STREET,,Artizan,Miami,33180,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
607,#1608,partially_refunded,,partial,no,USD,398.5,0.0,0.0,398.5,,0.0,Free Shipping (Fedex Ground),9/2/16 17:48,4,5.0,,fulfilled,170 Westwood Avenue,170 Westwood Avenue,,Ludovica LLC,Westwood,7675,NJ,US,,,,Shopify Payments,27.5,USJewelryhouse,,Low,web, Burgundy,,87
608,#1609,partially_refunded,,partial,yes,USD,324.0,0.0,0.0,324.0,,0.0,Free Shipping (Fedex Ground),9/2/16 17:50,1,11.75,5.5,fulfilled,3906 W 50th Street,3906 W 50th Street,,Fringe Women's Accessories,Edina,55424,MN,US,,,,Shopify Payments,69.0,USJewelryhouse,,Low,web, Black,,58
609,#1610,paid,9/2/16 17:59,unfulfilled,yes,USD,270.0,0.0,0.0,270.0,,0.0,Free Shipping (Fedex Ground),9/2/16 17:59,1,270.0,,pending,2325 S Brentwood Blvd,2325 S Brentwood Blvd,,The Vault,Brentwood,63144,MO,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
610,#1611,partially_refunded,,partial,yes,USD,301.75,0.0,0.0,301.75,,0.0,Free Shipping (Fedex Ground),9/3/16 12:42,2,5.75,,fulfilled,1 David N Meyers Parkway,1 David N Meyers Parkway,,The Shoppe at Montefiore,Beachwood,44122,OH,US,,,,Shopify Payments,27.25,andante,,Low,web, Silver,,59
611,#1612,partially_refunded,,partial,yes,USD,250.82,0.0,0.0,250.82,,0.0,Free Shipping (Fedex Ground),9/3/16 22:31,1,1.75,5.0,fulfilled,19 Rose Lane,19 Rose Lane,,Embellish Your Life LLC,Glen Mills,19342,PA,US,"ship asap
no signature required at delivery",,,PayPal Express Checkout,64.75,IT'S sense,,Low,web, Rhodium,,53
612,#1613,partially_refunded,,partial,yes,USD,330.0,0.0,0.0,330.0,,0.0,Free Shipping (Fedex Ground),9/4/16 21:43,1,4.0,,fulfilled,58 Lucia Court,58 Lucia Court,,Troo Enterprises,Matawan,7747,NJ,US,,,,PayPal Express Checkout,20.25,IT'S sense,,Low,web, Gold,,52
613,#1614,paid,9/5/16 17:22,fulfilled,yes,USD,324.75,0.0,0.0,324.75,,0.0,Free Shipping (Fedex Ground),9/5/16 17:22,1,6.25,7.75,fulfilled,5030 Champion Blvd#F7,5030 Champion Blvd#F7,,wildberries,Boca Raton,33496,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Silver,,25
614,#1615,partially_refunded,,partial,yes,USD,338.25,10.83,0.0,349.08,,0.0,FedEx Ground,9/6/16 7:47,2,5.75,,pending,5121 Main Street,5121 Main Street,,Briosa Boutique,Downers Grove,60515,IL,US,I need this in my store by Thursday.  Can you call me at 708-259-4620,,,Shopify Payments,34.0,Dorothy,,Low,web, Black Diamond,,51
615,#1616,partially_refunded,,partial,yes,USD,753.0,0.0,0.0,753.0,,0.0,Free Shipping (Fedex Ground),9/6/16 16:28,6,4.25,,pending,3408 Coastal Highway,3408 Coastal Highway,,ish Boutique,Ocean City,21842,MD,US,,,,Shopify Payments,177.5,USJewelryhouse,,Low,web, 1+,,167
616,#1617,partially_refunded,,partial,yes,USD,87.25,10.74,0.0,97.99,,0.0,FedEx Ground,9/7/16 9:49,1,3.0,11.75,fulfilled,7701 nw 15th street.suite#LC 670316,7701 nw 15th street.suite#LC 670316,,fashion statement,miami,33106,FL,US,,,,Shopify Payments,14.25,Ashley Collection,,Low,web, Cobalt Blue,,15
617,#1618,partially_refunded,,unfulfilled,yes,USD,98.58,9.39,0.0,107.97,,0.0,FedEx Ground,9/7/16 14:28,1,7.25,5.75,pending,31 Rehoboth Ave,31 Rehoboth Ave,,Carltons,Rehoboth Beach,19971,DE,US,"please ship on my UPS account: 198-505, as we have done in the past",,,Shopify Payments,33.64,Crystal Avenue,,Low,web, Silver,,17
618,#1619,paid,9/8/16 11:43,fulfilled,yes,USD,132.5,10.74,0.0,143.24,,0.0,FedEx Ground,9/8/16 11:43,1,7.0,,fulfilled,17269 Hampton Blvd,17269 Hampton Blvd,,Michele Popper,Boca Raton ,33496,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,20
619,#1620,partially_refunded,,partial,yes,USD,137.0,9.39,0.0,146.39,,0.0,FedEx Ground,9/8/16 17:15,2,14.75,,fulfilled,6 Mayfair Road,6 Mayfair Road,,Stylish Effex,New Hyde Park,11040,NY,US,,,,Shopify Payments,4.5,USJewelryhouse,,Low,web, Gold,,17
620,#1621,partially_refunded,,partial,yes,USD,90.25,9.39,0.0,99.64,,0.0,FedEx Ground,9/8/16 20:19,6,4.0,,pending,116 devon st apt 2,116 devon st apt 2,,Layersof.com,Dorchester,2121,MA,US,,,,Shopify Payments,24.0,vera,,Low,web, Silver,,21
621,#1622,partially_refunded,,partial,yes,USD,57.25,9.39,0.0,66.64,,0.0,FedEx Ground,9/9/16 13:36,1,5.0,,fulfilled,"400 w 63rd st, apt 611",400 w 63rd st,apt 611,maria dahn,new york,10025,NY,US,,,,PayPal Express Checkout,11.5,USJewelryhouse,,Low,web, Clear,,11
622,#1623,paid,9/9/16 14:16,unfulfilled,yes,USD,22.75,9.98,0.0,32.73,,0.0,FedEx Ground,9/9/16 14:16,1,14.0,11.75,pending,106 Chestnut St #1,106 Chestnut St #1,,Ms Cathys,Salisbury,28144,NC,US,,,,Shopify Payments,0.0,Love&Joy,,Low,web, Color Gradated Multi Strands Glass Beads Necklace ,,2
623,#1624,partially_refunded,,partial,yes,USD,472.5,0.0,0.0,472.5,,0.0,Free Shipping (Fedex Ground),9/9/16 16:24,6,2.75,,fulfilled,5 Main Street ,5 Main Street ,,Synergy,Keene,3431,NH,US,,,,Shopify Payments,29.75,POMINA,,Low,web, Silver,,171
624,#1625,partially_refunded,,partial,yes,USD,850.5,0.0,0.0,850.5,,0.0,Free Shipping (Fedex Ground),9/9/16 16:47,6,2.5,,fulfilled,90 northern blvd,90 northern blvd,,lesters,greenvale,11548,NY,US,,,,Shopify Payments,141.0,USJewelryhouse,,Low,web, Turquoise,,119
625,#1626,paid,9/9/16 21:41,fulfilled,yes,USD,34.0,9.39,0.0,43.39,,0.0,FedEx Ground,9/9/16 21:41,1,3.0,5.25,fulfilled,14431 Old Bond St,14431 Old Bond St,,Innocent Beauty Collections,Chesterfield,23832,VA,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Siam,,9
626,#1627,partially_refunded,,partial,no,USD,71.25,9.98,0.0,81.23,,0.0,FedEx Ground,9/10/16 15:00,3,3.0,,fulfilled,6253 Market Street,6253 Market Street,,The Children's Loft,Boardman,44512,OH,US,,,,Shopify Payments,2.0,USJewelryhouse,,Low,web, Ivory,,23
627,#1628,partially_refunded,,partial,yes,USD,96.5,9.39,0.0,105.89,,0.0,FedEx Ground,9/10/16 18:08,2,3.75,3.0,pending,25 Cumberland Rd,25 Cumberland Rd,,Direct Jewelry,Reading,1867,MA,US,,,,Shopify Payments,20.0,USJewelryhouse,,Low,web, Black,,36
628,#1629,paid,9/10/16 23:54,fulfilled,yes,USD,68.75,9.39,0.0,78.14,,0.0,FedEx Ground,9/10/16 23:54,1,6.75,11.75,fulfilled,"3033 Wilson Blvd, Suite 420 c/o ACMA",3033 Wilson Blvd,Suite 420 c/o ACMA,Babes & Bombshells,Arlington,22201,VA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,15
629,#1630,partially_refunded,,partial,yes,USD,144.75,9.39,0.0,154.14,,0.0,FedEx Ground,9/11/16 19:13,1,4.5,,fulfilled,59A Whiting Street,59A Whiting Street,,Chestnuts,Plainville,6062,CT,US,,,,Shopify Payments,11.5,romance,,Low,web, Clear,,39
630,#1631,paid,9/12/16 10:30,fulfilled,yes,USD,52.5,9.39,0.0,61.89,,0.0,FedEx Ground,9/12/16 10:30,1,6.5,,fulfilled,69 Lucerne Road,69 Lucerne Road,,Glossy Design,Springfield,1119,MA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Clear,,6
631,#1632,paid,9/12/16 10:35,fulfilled,yes,USD,308.5,0.0,0.0,308.5,,0.0,Free Shipping (Fedex Ground),9/12/16 10:35,12,5.0,,fulfilled,98 summit way,98 summit way,,"A Bling Affair, inc",syosset,11791,NY,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Ivory,,62
632,#1633,partially_refunded,,partial,yes,USD,293.63,0.0,0.0,293.63,,0.0,Free Shipping (Fedex Ground),9/12/16 11:41,1,2.5,2.75,pending,159 Craigie Street,159 Craigie Street,,Amore Style,Portland,4102,ME,US,,,,PayPal Express Checkout,47.88,PARATi,,Low,web, Multi,,125
633,#1634,partially_refunded,,partial,yes,USD,461.25,0.0,0.0,461.25,,0.0,Free Shipping (Fedex Ground),9/12/16 12:45,1,2.5,3.0,pending,381 Thames Street,381 Thames Street,,Rochelle's of Newport,Newport,2840,RI,US,,,,Shopify Payments,102.0,USJewelryhouse,,Low,web, Rhodium,,121
634,#1635,partially_refunded,,partial,yes,USD,251.75,0.0,0.0,251.75,,0.0,Free Shipping (Fedex Ground),9/12/16 15:27,1,3.0,3.0,pending,11 Cottrell Street,11 Cottrell Street,,Rochelle's of Mystic,Mystic,6355,CT,US,,,,Shopify Payments,42.75,USJewelryhouse,,Low,web, Rustic,,65
635,#1636,partially_refunded,,partial,yes,USD,142.0,9.39,0.0,151.39,,0.0,FedEx Ground,9/12/16 17:34,2,6.0,,fulfilled,21 Chapel Woods West,21 Chapel Woods West,,Silver Lining,Williamsville,14221,NY,US,,,,Shopify Payments,14.0,USJewelryhouse,,Low,web, Gold,,20
636,#1637,partially_refunded,,partial,yes,USD,352.25,0.0,0.0,352.25,,0.0,Free Shipping (Fedex Ground),9/12/16 20:41,1,4.5,,fulfilled,"Petrune, 126 East State Street",Petrune,126 East State Street,Petrune,Ithaca,14850,NY,US,,,,PayPal Express Checkout,73.75,USJewelryhouse,,Low,web, Ivory,,99
637,#1638,partially_refunded,,partial,yes,USD,253.25,0.0,0.0,253.25,,0.0,Free Shipping (Fedex Ground),9/13/16 1:34,3,5.25,5.0,partial,1885 E BIG BEAVER RD,1885 E BIG BEAVER RD,,LACE BOUTIQUE INC.,TROY,48083-2007,MI,US,,,,Shopify Payments,14.5,Hush,,Low,web, Clear,,64
638,#1639,partially_refunded,,partial,yes,USD,66.0,9.39,0.0,75.39,,0.0,FedEx Ground,9/13/16 12:37,1,4.75,3.0,fulfilled,17 East Brook Drive,17 East Brook Drive,,Great Finds,Holmdel,7733,NJ,US,,,,Shopify Payments,30.75,USJewelryhouse,,Low,web, Gold,,15
639,#1640,partially_refunded,,partial,yes,USD,707.4,0.0,0.0,707.4,10OFF500,78.6,Free Shipping (Fedex Ground),9/13/16 15:19,12,5.5,,fulfilled,90 northern blvd,90 northern blvd,,lesters,greenvale,11548,NY,US,,,,Shopify Payments,103.05,USJewelryhouse,,Low,web, Turquoise,,180
640,#1641,partially_refunded,,unfulfilled,yes,USD,615.25,0.0,0.0,615.25,10OFF500,68.36,Free Shipping (Fedex Ground),9/13/16 21:26,1,5.5,3.0,pending,28 jfk blvd,28 jfk blvd,,sunsations,sea isle city ,8243,NJ,US,,,,Shopify Payments,13.73,CODE22,,Low,web, Light Gray,,105
641,#1642,paid,9/14/16 9:07,fulfilled,yes,USD,125.37,9.98,0.0,135.35,,0.0,FedEx Ground,9/14/16 9:07,3,3.75,4.75,fulfilled,"10 WITHERELL ST, APT 505",10 WITHERELL ST,APT 505,One Stitch Away,DETROIT,48226-1675,MI,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Amy,,41
642,#1643,paid,9/14/16 14:56,fulfilled,no,USD,64.5,9.98,0.0,74.48,,0.0,FedEx Ground,9/14/16 14:56,2,4.5,,fulfilled,737 N High St,737 N High St,,On Paper,Columbus,43215,OH,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,13
643,#1644,partially_refunded,,unfulfilled,yes,USD,472.68,0.0,0.0,472.68,10OFF500,52.52,Free Shipping (Fedex Ground),9/14/16 15:14,2,8.79,9.75,pending,750 Bethany Green Ct,750 Bethany Green Ct,,Hilary Abbott Communication,Alpharetta,30004,GA,US,,,,Shopify Payments,11.48,romance,,Low,web, Burgundy,,64
644,#1645,paid,9/14/16 17:57,unfulfilled,yes,USD,160.0,11.09,0.0,171.09,,0.0,FedEx Ground,9/14/16 17:57,1,160.0,,pending,3721 NE 200TH STREET,3721 NE 200TH STREET,,Artizan,Miami,33180,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,1
645,#1646,partially_refunded,,partial,yes,USD,73.0,9.39,0.0,82.39,,0.0,FedEx Ground,9/14/16 19:00,1,2.0,,fulfilled,25 Cumberland Rd,25 Cumberland Rd,,Direct Jewelry,Reading,1867,MA,US,,,,Shopify Payments,25.0,POMINA,,Low,web, Brown,,23
646,#1647,paid,9/15/16 12:10,fulfilled,yes,USD,115.0,9.39,0.0,124.39,,0.0,FedEx Ground,9/15/16 12:10,2,3.5,,fulfilled,21 Chapel Woods West,21 Chapel Woods West,,Silver Lining,Williamsville,14221,NY,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,18
647,#1648,paid,9/15/16 12:40,fulfilled,yes,USD,69.0,9.39,0.0,78.39,,0.0,FedEx Ground,9/15/16 12:40,5,13.8,17.25,fulfilled,"1265 15th st, Suite 7B",1265 15th st,Suite 7B,Anela Revece,Fort Lee,7024,NJ,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,5
648,#1649,partially_refunded,,partial,yes,USD,392.0,0.0,0.0,392.0,,0.0,Free Shipping (Fedex Ground),9/15/16 13:42,12,4.5,,fulfilled,"8518 nw 66 street , suite 502",8518 nw 66 street ,suite 502,JOIAS GUATEMALA,Miami,33195-2684,FL,US,,,,Shopify Payments,87.0,USJewelryhouse,,Low,web, Rhodium,,110
649,#1650,partially_refunded,,partial,yes,USD,116.5,9.39,0.0,125.89,,0.0,FedEx Ground,9/16/16 10:36,1,4.75,,fulfilled,74 Lexington Ave,74 Lexington Ave,,Tati's Unique Boutique,Bloomfield,7003,NJ,US,,,,PayPal Express Checkout + Shopify Payments,17.0,USJewelryhouse,,Low,web, Gold,,50
650,#1651,refunded,9/16/16 11:19,unfulfilled,yes,USD,60.0,9.39,0.0,69.39,,0.0,FedEx Ground,9/16/16 11:19,3,10.0,,pending,360 Narragansett Park Dr,360 Narragansett Park Dr,,Tanya Creations,Rumford,2916,RI,US,,,,Shopify Payments,69.39,TAZZA,,Low,web, Silver,,6
651,#1652,partially_refunded,,partial,yes,USD,46.25,9.39,0.0,55.64,,0.0,FedEx Ground,9/16/16 12:41,1,4.75,,fulfilled,17 East Brook Drive,17 East Brook Drive,,Great Finds,Holmdel,7733,NJ,US,,,,Shopify Payments,41.39,USJewelryhouse,,Low,web, Hematite,,11
652,#1653,partially_refunded,,partial,yes,USD,441.75,0.0,0.0,441.75,,0.0,Free Shipping (Fedex Ground),9/16/16 15:58,2,13.75,15.5,fulfilled,43 Larkin Pond Road South ,43 Larkin Pond Road South ,,K&M Associates,West Kingston ,2892,RI,US,,,,Shopify Payments,250.5,USJewelryhouse,,Low,web, Multi,,43
653,#1654,partially_refunded,,partial,yes,USD,175.75,10.36,0.0,186.11,,0.0,FedEx Ground,9/16/16 23:56,1,4.25,,pending,1885 E BIG BEAVER RD,1885 E BIG BEAVER RD,,LACE BOUTIQUE INC.,TROY,48083-2007,MI,US,,,,Shopify Payments,30.5,USJewelryhouse,,Low,web, Rhodium,,41
654,#1655,partially_refunded,,partial,yes,USD,310.39,0.0,0.0,310.39,,0.0,Free Shipping (Fedex Ground),9/17/16 14:25,1,4.0,8.75,pending,3906 W 50th Street,3906 W 50th Street,,Fringe Women's Accessories,Edina,55424,MN,US,,,,Shopify Payments,44.0,USJewelryhouse,,Low,web, Ivory,,64
655,#1656,partially_refunded,,partial,yes,USD,63.75,9.39,0.0,73.14,,0.0,FedEx Ground,9/18/16 1:15,1,7.75,4.5,fulfilled,5 Aspen Drive,5 Aspen Drive,,Jer Jer,North Caldwell,7006,NJ,US,,,,PayPal Express Checkout,16.5,Crystal Avenue,,Low,web, Gold,,9
656,#1657,refunded,9/18/16 12:07,unfulfilled,yes,USD,12.5,9.98,0.0,22.48,,0.0,FedEx Ground,9/18/16 12:07,1,6.5,,pending,"3411 old vineyard rd, Apt b5",3411 old vineyard rd,Apt b5,P&Y,Winston salem,27103,NC,US,,,9/19/16 10:31,Shopify Payments,22.48,Crystal Avenue,,Low,web, Silver,,2
657,#1658,pending,,unfulfilled,yes,USD,1711.13,0.0,0.0,1711.13,10OFF500,190.12,Free Shipping (Fedex Ground),9/19/16 14:07,3,19.25,,pending,"777 NW 72ND AVE, STE 1001",777 NW 72ND AVE,STE 1001,US Jewelry House of Florida,Miami,33126,FL,US,,,,Cash on Delivery (COD),0.0,USJewelryhouse,,Low,web, Ladybug Crossbody Bag,,87
658,#1659,partially_refunded,,partial,yes,USD,51.09,9.39,0.0,60.48,,0.0,FedEx Ground,9/19/16 14:09,1,3.0,4.5,pending,99 Kent Street,99 Kent Street,,Abrookin Career & Technical Center,Albany,12206,NY,US,,,,PayPal Express Checkout,17.5,USJewelryhouse,,Low,web, Gold,,15
